step,epoch,loss,eval_loss,lr
5,0.047,2.5730287551879885,,2.5806451612903226e-05
10,0.094,2.3461389541625977,,5.8064516129032266e-05
15,0.141,2.0330982208251953,,9.032258064516129e-05
20,0.188,1.4451035499572753,,0.00012258064516129034
25,0.235,1.2568666458129882,,0.00015483870967741937
30,0.282,1.0041720390319824,,0.0001870967741935484
35,0.329,0.8907406806945801,,0.00019994719463633997
40,0.376,0.7969495773315429,,0.00019962469712828614
45,0.424,0.7826056957244873,,0.00019900998321844367
50,0.471,1.0565585136413573,,0.00019810485596862392
55,0.518,0.861426830291748,,0.00019691197027300205
60,0.565,0.8231545448303222,,0.00019543482507085482
65,0.612,0.7723687171936036,,0.0001936777530835689
70,0.659,0.8711490631103516,,0.00019164590810602262
75,0.706,0.7396476745605469,,0.00018934524988961738
80,0.753,0.8358945846557617,,0.00018678252666130013
85,0.8,0.8214680671691894,,0.00018396525532985108
90,0.847,0.7427678108215332,,0.00018090169943749476
95,0.894,0.8544467926025391,,0.0001776008449215073
100,0.941,0.9862290382385254,,0.00017407237375691392
105,0.988,0.9706614494323731,,0.000170326635557588
110,1.028,0.7070504188537597,,0.00016637461721905045
115,1.075,0.8156867027282715,,0.00016222791069201207
120,1.122,0.7420507907867432,,0.0001578986789811849
125,1.169,0.928410816192627,,0.00015339962046909364
130,1.216,0.7269094944000244,,0.00014874393166953192
135,1.264,0.7535284996032715,,0.00014394526851991364
140,1.311,0.8603343009948731,,0.00013901770632605547
145,1.358,0.7282817363739014,,0.00013397569847687984
150,1.405,0.7690598011016846,,0.0001288340340501351
155,1.452,0.9196462631225586,,0.000123607794433482
160,1.499,0.8952166557312011,,0.00011831230908818563
165,1.546,0.777234411239624,,0.00011296311058516389
170,1.593,0.851842212677002,,0.00010757588904528106
175,1.64,0.7756956577301025,,0.00010216644611751975
180,1.687,0.9328883171081543,,9.675064863002196e-05
185,1.734,0.6930289268493652,,9.134438204994824e-05
190,1.781,0.7424789428710937,,8.596350388866558e-05
195,1.828,0.8421287536621094,,8.062379718893417e-05
200,1.875,0.6879534244537353,,7.534092423052381e-05
205,1.922,0.815523624420166,,7.013038059004866e-05
210,1.969,0.830262565612793,,6.500744968977116e-05
215,2.009,0.7560885429382325,,5.9987157968691344e-05
220,2.056,0.805140209197998,,5.5084230807412126e-05
225,2.104,0.7217963218688965,,5.03130493360608e-05
230,2.151,0.7568797111511231,,4.5687608251956714e-05
235,2.198,0.6781411170959473,,4.12214747707527e-05
240,2.245,0.7942461967468262,,3.6927748831453836e-05
245,2.292,0.7700587272644043,,3.28190246720394e-05
250,2.339,0.7921396732330322,,2.890735388839295e-05
255,2.386,0.700628137588501,,2.520421008489494e-05
260,2.433,0.7491267204284668,,2.1720455220364444e-05
265,2.48,0.8510005950927735,,1.8466307748062205e-05
270,2.527,0.7095373630523681,,1.5451312643206827e-05
275,2.574,0.71553053855896,,1.2684313405917703e-05
280,2.621,0.6928175449371338,,1.0173426121705576e-05
285,2.668,0.837037467956543,,7.926015655595254e-06
290,2.715,0.7212429523468018,,5.948674049707603e-06
295,2.762,0.7568931102752685,,4.247201187664218e-06
300,2.809,0.7041581630706787,,2.826587782529444e-06
305,2.856,0.7270395755767822,,1.6910007381890081e-06
310,2.904,0.773517370223999,,8.437709271030603e-07
315,2.951,0.8333678245544434,,2.873834202833159e-07
320,2.998,0.908535099029541,,2.347019815158724e-08
