step,epoch,loss,eval_loss,lr
5,0.047,26.9005126953125,,2.5806451612903226e-05
10,0.094,26.36731872558594,,5.8064516129032266e-05
15,0.141,26.166720581054687,,9.032258064516129e-05
20,0.188,24.030491638183594,,0.00012258064516129034
25,0.235,20.86427001953125,,0.00015483870967741937
30,0.282,16.71739501953125,,0.0001870967741935484
35,0.329,12.708283996582031,,0.00019994719463633997
40,0.376,10.384906005859374,,0.00019962469712828614
45,0.424,8.935305786132812,,0.00019900998321844367
50,0.471,8.311310577392579,,0.00019810485596862392
55,0.518,7.812324523925781,,0.00019691197027300205
60,0.565,7.526303100585937,,0.00019543482507085482
65,0.612,7.409782409667969,,0.0001936777530835689
70,0.659,6.941139984130859,,0.00019164590810602262
75,0.706,6.5065773010253904,,0.00018934524988961738
80,0.753,6.47008056640625,,0.00018678252666130013
85,0.8,6.194902038574218,,0.00018396525532985108
90,0.847,6.173926162719726,,0.00018090169943749476
95,0.894,6.3109081268310545,,0.0001776008449215073
100,0.941,6.13743896484375,,0.00017407237375691392
105,0.988,5.986935043334961,,0.000170326635557588
110,1.028,5.832038116455078,,0.00016637461721905045
115,1.075,5.87689437866211,,0.00016222791069201207
120,1.122,5.494652557373047,,0.0001578986789811849
125,1.169,5.865644073486328,,0.00015339962046909364
130,1.216,5.252204132080078,,0.00014874393166953192
135,1.264,5.396216201782226,,0.00014394526851991364
140,1.311,5.364809036254883,,0.00013901770632605547
145,1.358,5.112862014770508,,0.00013397569847687984
150,1.405,5.242448043823242,,0.0001288340340501351
155,1.452,5.292692565917969,,0.000123607794433482
160,1.499,5.159487915039063,,0.00011831230908818563
165,1.546,4.939873504638672,,0.00011296311058516389
170,1.593,5.337825012207031,,0.00010757588904528106
175,1.64,4.818207931518555,,0.00010216644611751975
180,1.687,4.983207702636719,,9.675064863002196e-05
185,1.734,4.554318618774414,,9.134438204994824e-05
190,1.781,4.542429351806641,,8.596350388866558e-05
195,1.828,4.651232528686523,,8.062379718893417e-05
200,1.875,4.518850326538086,,7.534092423052381e-05
205,1.922,5.226215744018555,,7.013038059004866e-05
210,1.969,4.811075973510742,,6.500744968977116e-05
215,2.009,4.352395248413086,,5.9987157968691344e-05
220,2.056,4.551340484619141,,5.5084230807412126e-05
225,2.104,4.31987419128418,,5.03130493360608e-05
230,2.151,4.756807327270508,,4.5687608251956714e-05
235,2.198,4.313226699829102,,4.12214747707527e-05
240,2.245,4.937344360351562,,3.6927748831453836e-05
245,2.292,4.594820785522461,,3.28190246720394e-05
250,2.339,4.556930160522461,,2.890735388839295e-05
255,2.386,4.804964828491211,,2.520421008489494e-05
260,2.433,4.24791259765625,,2.1720455220364444e-05
265,2.48,4.467505264282226,,1.8466307748062205e-05
270,2.527,4.2067005157470705,,1.5451312643206827e-05
275,2.574,4.349410629272461,,1.2684313405917703e-05
280,2.621,4.111896514892578,,1.0173426121705576e-05
285,2.668,4.522698593139649,,7.926015655595254e-06
290,2.715,4.358788681030274,,5.948674049707603e-06
295,2.762,4.653024673461914,,4.247201187664218e-06
300,2.809,4.286475753784179,,2.826587782529444e-06
305,2.856,4.23186149597168,,1.6910007381890081e-06
310,2.904,4.3486579895019535,,8.437709271030603e-07
315,2.951,4.393778610229492,,2.873834202833159e-07
320,2.998,4.548916625976562,,2.347019815158724e-08
